X,Y,DataZone,OBJECTID,Name,TotPop2011,ResPop2011,HHCnt2011,Easting,Northing,SIMD2020v2_Rank,deciles
-4.24332730219371,55.8952237348692,S01010335,"3830",Milton East - 01,"831","793","345","259817","669175",430,"1"
-4.24334385082036,55.9016044219849,S01010336,"3831",Milton East - 02,"657","657","379","259839","669885",48,"1"
-4.24928187161367,55.8994469145957,S01010337,"3832",Milton East - 03,"623","623","278","259460","669657",272,"1"
-4.24427108357323,55.8982712005621,S01010338,"3833",Milton East - 04,"751","751","356","259769","669516",122,"1"
-4.25335053767759,55.9031291496222,S01010344,"3839",Summerston Central and West - 05,"690","690","419","259219","670075",37,"1"
-4.30564072557787,55.9030140942551,S01010347,"3842",Summerston North - 02,"1125","919","466","255950","670170",486,"1"
-4.27092403466033,55.8972428895913,S01010350,"3845",Maryhill East - 01,"950","950","475","258099","669456",506,"1"
-4.28533695817436,55.8956278982933,S01010352,"3847",Maryhill East - 03,"506","506","276","257192","669306",421,"1"
-4.29053117403862,55.8969153418898,S01010353,"3848",Maryhill East - 04,"961","961","562","256872","669460",77,"1"
-4.29507004804702,55.8944131485409,S01010355,"3850",Maryhill West - 02,"742","742","402","256579","669191",461,"1"
-4.29423189420996,55.8959296700527,S01010357,"3852",Maryhill West - 04,"585","585","340","256637","669358",204,"1"
-4.29056735382902,55.8872172869977,S01010358,"3853",Wyndford - 01,"842","842","507","256834","668381",128,"1"
-4.28878647469987,55.8892905804988,S01010359,"3854",Wyndford - 02,"816","816","456","256953","668608",135,"1"
-4.2940691736522,55.889650533512,S01010360,"3855",Wyndford - 03,"567","567","285","256624","668659",501,"1"
-4.29397832661661,55.888924246779,S01010361,"3856",Wyndford - 04,"611","611","402","256627","668578",103,"1"
-4.29297048888841,55.88675010656,S01010362,"3857",Wyndford - 05,"783","783","611","256682","668334",21,"1"
-4.32046377083241,55.8747665182661,S01010394,"3889",Partick - 02,"807","807","516","254918","667058",301,"1"
-4.33337618369855,55.8720237062788,S01010423,"3918",Whiteinch - 01,"831","831","490","254100","666780",508,"1"
-4.34446676268028,55.875677507132,S01010425,"3920",Whiteinch - 03,"1032","1032","621","253420","667210",343,"1"
-4.358943628555,55.8826716880312,S01010433,"3928",Scotstoun South and West - 02,"803","803","338","252541","668019",224,"1"
-4.35444778631337,55.8802503060609,S01010434,"3929",Scotstoun South and West - 03,"623","623","331","252813","667740",195,"1"
-4.35089372450932,55.878853308678,S01010436,"3931",Scotstoun South and West - 05,"778","778","433","253030","667577",365,"1"
-4.37895143768957,55.8918852301304,S01010440,"3935",Yoker South - 04,"650","650","322","251325","669087",453,"1"
-4.36768597785954,55.8978277836712,S01010447,"3942",Knightswood West - 01,"1028","1028","521","252052","669724",512,"1"
-4.35287220728445,55.8875064973162,S01010451,"3946",Knightswood East - 02,"864","829","438","252939","668544",361,"1"
-4.35963476453594,55.8869455524142,S01010453,"3948",Knightswood East - 04,"666","664","372","252514","668496",491,"1"
-4.3601426588808,55.900048828197,S01010455,"3950",Knightswood Park West - 01,"942","942","604","252532","669955",50,"1"
-4.34683257145759,55.8920976416452,S01010461,"3956",Knightswood Park East - 02,"732","732","386","253334","669042",600,"1"
-4.35000473066891,55.8924505661969,S01010462,"3957",Knightswood Park East - 03,"899","899","437","253137","669088",131,"1"
-4.34560263505721,55.904047571031,S01010478,"3973",Blairdardie East - 01,"991","991","628","253456","670369",253,"1"
-4.33429696014228,55.9001461114437,S01010481,"3976",Blairdardie East - 04,"667","667","267","254148","669911",227,"1"
-4.35401679266312,55.9071944336912,S01010488,"3983",Drumchapel South - 01,"822","822","338","252942","670737",429,"1"
-4.35158038063544,55.9105573934061,S01010490,"3985",Drumchapel South - 03,"749","749","308","253107","671106",219,"1"
-4.35613664816166,55.9104882826054,S01010491,"3986",Drumchapel North - 01,"906","906","417","252822","671108",143,"1"
-4.36225132142679,55.9176241315217,S01010492,"3987",Drumchapel North - 02,"575","575","255","252467","671915",102,"1"
-4.36141337145158,55.9101625250601,S01010493,"3988",Drumchapel North - 03,"719","719","308","252491","671083",30,"1"
-4.35373375067842,55.9125564317627,S01010495,"3990",Drumchapel North - 05,"858","858","418","252980","671333",59,"1"
-4.36673857769554,55.9108961467936,S01010496,"3991",Drumry East - 01,"843","812","388","252161","671176",168,"1"
-4.37945904534033,55.9176702394709,S01010497,"3992",Drumry East - 02,"749","749","285","251392","671957",347,"1"
-4.37370693299033,55.9157321167093,S01010498,"3993",Drumry East - 03,"839","839","357","251744","671729",296,"1"
