"lsoa11","rgn"
"E01009178","E12000005"
"E01009186","E12000005"
"E01008964","E12000005"
"E01008963","E12000005"
"E01009185","E12000005"
"E01009390","E12000005"
"E01009187","E12000005"
"E01009045","E12000005"
"E01009189","E12000005"
"E01009175","E12000005"
"E01008942","E12000005"
"E01008943","E12000005"
"E01008945","E12000005"
"E01008941","E12000005"
"E01008940","E12000005"
"E01008944","E12000005"
"E01008946","E12000005"
"E01010218","E12000005"
"E01008947","E12000005"
"E01008948","E12000005"
"E01008949","E12000005"
"E01008974","E12000005"
"E01008980","E12000005"
"E01008976","E12000005"
"E01008978","E12000005"
"E01008979","E12000005"
"E01009120","E12000005"
"E01032134","E12000005"
"E01032145","E12000005"
"E01008981","E12000005"
"E01008967","E12000005"
"E01008970","E12000005"
"E01008966","E12000005"
"E01008973","E12000005"
"E01008975","E12000005"
"E01008972","E12000005"
"E01009177","E12000005"
"E01008965","E12000005"
"E01033639","E12000005"
"E01009143","E12000005"
"E01008994","E12000005"
"E01008990","E12000005"
"E01033631","E12000005"
"E01033626","E12000005"
"E01033640","E12000005"
"E01033567","E12000005"
"E01008995","E12000005"
"E01008997","E12000005"
"E01033562","E12000005"
"E01009284","E12000005"
"E01008992","E12000005"
"E01008989","E12000005"
"E01008988","E12000005"
"E01008991","E12000005"
"E01009069","E12000005"
"E01009140","E12000005"
"E01009153","E12000005"
"E01009152","E12000005"
"E01009145","E12000005"
"E01009151","E12000005"
"E01008986","E12000005"
"E01010065","E12000005"
"E01009138","E12000005"
"E01033618","E12000005"
"E01033564","E12000005"
"E01008987","E12000005"
"E01009147","E12000005"
"E01033559","E12000005"
"E01009072","E12000005"
"E01009071","E12000005"
"E01009249","E12000005"
"E01009077","E12000005"
"E01009068","E12000005"
"E01009075","E12000005"
"E01009078","E12000005"
"E01009064","E12000005"
"E01009260","E12000005"
"E01009066","E12000005"
"E01009927","E12000005"
"E01009065","E12000005"
"E01009139","E12000005"
"E01009252","E12000005"
"E01009261","E12000005"
"E01009070","E12000005"
"E01009067","E12000005"
"E01009345","E12000005"
"E01009346","E12000005"
"E01010063","E12000005"
"E01009361","E12000005"
"E01009360","E12000005"
"E01009359","E12000005"
"E01033638","E12000005"
"E01009347","E12000005"
"E01009348","E12000005"
"E01009358","E12000005"
"E01009352","E12000005"
"E01008907","E12000005"
"E01009355","E12000005"
"E01008905","E12000005"
"E01009048","E12000005"
"E01009047","E12000005"
"E01009062","E12000005"
"E01009059","E12000005"
"E01009060","E12000005"
"E01008906","E12000005"
"E01033628","E12000005"
"E01008913","E12000005"
"E01008909","E12000005"
"E01008911","E12000005"
"E01008914","E12000005"
"E01009267","E12000005"
"E01009264","E12000005"
"E01009279","E12000005"
"E01009266","E12000005"
"E01009278","E12000005"
"E01009262","E12000005"
"E01009276","E12000005"
"E01032591","E12000005"
"E01009263","E12000005"
"E01009049","E12000005"
"E01009050","E12000005"
"E01009056","E12000005"
"E01009265","E12000005"
"E01009270","E12000005"
"E01009350","E12000005"
"E01009051","E12000005"
"E01033621","E12000005"
"E01009054","E12000005"
"E01009058","E12000005"
"E01009053","E12000005"
"E01009242","E12000005"
"E01009057","E12000005"
"E01009349","E12000005"
"E01009272","E12000005"
"E01010052","E12000005"
"E01010046","E12000005"
"E01009351","E12000005"
"E01009354","E12000005"
"E01009274","E12000005"
"E01009275","E12000005"
"E01033635","E12000005"
"E01009273","E12000005"
"E01009271","E12000005"
"E01009269","E12000005"
"E01009353","E12000005"
"E01009268","E12000005"
"E01010101","E12000005"
"E01009119","E12000005"
"E01009007","E12000005"
"E01009121","E12000005"
"E01009136","E12000005"
"E01009403","E12000005"
"E01009002","E12000005"
"E01009122","E12000005"
"E01009132","E12000005"
"E01009406","E12000005"
"E01009404","E12000005"
"E01033632","E12000005"
"E01009405","E12000005"
"E01009458","E12000005"
"E01009123","E12000005"
"E01009001","E12000005"
"E01009472","E12000005"
"E01009135","E12000005"
"E01009407","E12000005"
"E01009460","E12000005"
"E01009006","E12000005"
"E01009003","E12000005"
"E01033646","E12000005"
"E01033630","E12000005"
"E01009413","E12000005"
"E01009409","E12000005"
"E01009013","E12000005"
"E01009000","E12000005"
"E01009408","E12000005"
"E01009410","E12000005"
"E01009411","E12000005"
"E01009414","E12000005"
"E01009124","E12000005"
"E01009126","E12000005"
"E01009125","E12000005"
"E01009412","E12000005"
"E01009401","E12000005"
"E01009232","E12000005"
"E01009100","E12000005"
"E01009008","E12000005"
"E01009005","E12000005"
"E01009009","E12000005"
"E01009011","E12000005"
"E01009461","E12000005"
"E01009098","E12000005"
"E01009105","E12000005"
"E01009096","E12000005"
"E01009101","E12000005"
"E01009102","E12000005"
"E01008999","E12000005"
"E01008998","E12000005"
"E01009104","E12000005"
"E01009400","E12000005"
"E01009202","E12000005"
"E01009012","E12000005"
"E01008883","E12000005"
"E01008882","E12000005"
"E01008881","E12000005"
"E01008886","E12000005"
"E01008898","E12000005"
"E01008896","E12000005"
"E01008897","E12000005"
"E01009515","E12000005"
"E01009513","E12000005"
"E01009521","E12000005"
"E01009518","E12000005"
"E01008885","E12000005"
"E01008891","E12000005"
"E01008888","E12000005"
"E01009313","E12000005"
"E01010162","E12000005"
"E01009312","E12000005"
"E01009316","E12000005"
"E01009520","E12000005"
"E01009324","E12000005"
"E01009516","E12000005"
"E01009517","E12000005"
"E01009514","E12000005"
"E01009314","E12000005"
"E01009519","E12000005"
"E01009323","E12000005"
"E01009322","E12000005"
"E01009315","E12000005"
"E01009319","E12000005"
"E01010109","E12000005"
"E01009320","E12000005"
"E01009317","E12000005"
"E01009318","E12000005"
"E01010133","E12000005"
"E01010138","E12000005"
"E01009321","E12000005"
"E01008894","E12000005"
"E01008893","E12000005"
"E01008892","E12000005"
"E01008895","E12000005"
"E01010177","E12000005"
"E01010178","E12000005"
"E01009015","E12000005"
"E01010157","E12000005"
"E01009021","E12000005"
"E01010174","E12000005"
"E01009024","E12000005"
"E01009025","E12000005"
"E01009019","E12000005"
"E01009020","E12000005"
"E01009022","E12000005"
"E01009016","E12000005"
"E01009023","E12000005"
"E01009040","E12000005"
"E01009035","E12000005"
"E01009037","E12000005"
"E01009034","E12000005"
"E01009036","E12000005"
"E01009039","E12000005"
"E01009041","E12000005"
"E01032589","E12000005"
"E01009042","E12000005"
"E01009043","E12000005"
"E01009030","E12000005"
"E01009032","E12000005"
"E01009033","E12000005"
"E01010176","E12000005"
"E01009294","E12000005"
"E01009506","E12000005"
"E01009504","E12000005"
"E01009494","E12000005"
"E01009505","E12000005"
"E01009496","E12000005"
"E01009495","E12000005"
"E01009493","E12000005"
"E01009501","E12000005"
"E01009503","E12000005"
"E01009291","E12000005"
"E01009500","E12000005"
"E01009502","E12000005"
"E01008929","E12000005"
"E01008924","E12000005"
"E01008919","E12000005"
"E01009289","E12000005"
"E01033634","E12000005"
"E01009290","E12000005"
"E01009281","E12000005"
"E01009280","E12000005"
"E01009295","E12000005"
"E01009292","E12000005"
"E01009286","E12000005"
"E01009288","E12000005"
"E01009283","E12000005"
"E01009296","E12000005"
"E01009293","E12000005"
"E01009282","E12000005"
"E01008961","E12000005"
"E01008962","E12000005"
"E01008959","E12000005"
"E01008956","E12000005"
"E01008960","E12000005"
"E01008954","E12000005"
"E01008958","E12000005"
"E01009218","E12000005"
"E01008950","E12000005"
"E01008951","E12000005"
"E01008952","E12000005"
"E01008955","E12000005"
